Pocet replikacii;Pocet technikov;Pocet automechanikov typ 1;Pocet automechanikov typ 2;Pocet vozidiel v systeme;Pocet vozidiel v systeme IS;Pocet vozidel na konci dna;Cas v systeme;Cas v systeme IS;Cakanie na prevzatie;Dlzka rady;Volni technici;Volni automechanici typ 1;Volni automechanici typ 2
999;1;0;1;82,75103482492177;(82,28564820508626, 83,21642144475729);144,291;14486,026584981704;(14456,846893784652, 14515,206276178757);9060,995344741294;76,99150277067575;0,6879839599061388;0;0,01562196626516181
999;1;0;1;82,82294116711083;(82,3366236002499, 83,30925873397176);144,4;14486,611043148785;(14456,861673155545, 14516,360413142025);9070,812658738632;77,06530850419071;0,6873045352363225;0;0,01583872643530908
999;1;0;1;82,61372154524457;(82,12560528586143, 83,10183780462772);143,883;14471,033206350825;(14440,604505338772, 14501,461907362878);9033,311127185305;76,85538731768725;0,6883910611428957;0;0,015864475004471714
999;1;0;1;82,77466420635955;(82,2947798105621, 83,25454860215699);144,005;14475,868052189482;(14446,764408208173, 14504,97169617079);9060,541044830517;77,01615174399234;0,6886485275809247;0;0,015915924952579
6629;1;0;1;82,70556536274542;(82,5186891318962, 82,89244159359464);144,19260935143288;14477,687905818335;(14465,648390934322, 14489,727420702347);9052,77295918337;76,94772326590576;0,6882938834447084;0;0,01584209448286881
0;1;0;1;33,338558403753446;(0, 0);62;5399,483690686615;(0, 0);2240,66119663404;28,157480839907464;0,5239013736740974;0;0,06908563191408877
9197;6;0;9;45,39334783204104;(45,24008908437686, 45,54660657970521);56,976081756903675;7980,383658263458;(7966,050901873547, 7994,716414653368);4993,26371967373;31,516178512868706;3,8940727425136474;0;0,3416731658858088
10273;6;0;20;20,1212466715607;(20,068100790807662, 20,17439255231374);0,03669456881448316;3532,378946859301;(3527,6074181537956, 3537,150475564806);379,47105862173163;2,656362075335517;2,4439603083929393;0;4,873871792901418
18400;6;0;20;20,098130196550947;(20,059231027759775, 20,13702936534212);0,022824846475735013;3528,828297198574;(3525,337763191584, 3532,318831205564);376,16852972119705;2,63476990005538;2,444052596472209;0;4,873870310027541
4210;6;10;10;17,424080643401744;(17,380330424944553, 17,467830861858936);0,008074091664687722;3060,134289979607;(3057,7098035226054, 3062,5587764366082);52,34110536346056;0,3760456484870218;2,8384997064101127;1,8971944626437958;4,130501460070609
999;5;12;7;21,136727407002397;(20,93128585347807, 21,342168960526724);0,141;3731,0570184712924;(3710,650488646366, 3751,463548296219);546,8584693014926;3,6575942117989713;1,533702625849578;1,982265888494286;1,9184767518400778
6601;1;1;1;79,81110625394457;(79,62599227683728, 79,99622023105186);134,48788245986066;14322,194207609062;(14311,76428480166, 14332,624130416463);10175,522793933507;73,2717907636421;0,41682301016108064;0,018218287467238702;0,029724429352638464
999;5;12;7;21,05036028321019;(20,84257773401152, 21,258142832408858);0,176;3712,8438007043555;(3692,3781640241523, 3733,309437384559);532,7753001672188;3,571064197630802;1,5344094605311767;1,9674649533483242;1,9362131397263094
999;5;12;7;21,05806413925514;(20,854901532980044, 21,261226745530237);0,138;3724,052156987274;(3704,0719147031723, 3744,0323992713757);539,7965226065273;3,6085248261632614;1,5370411478014812;1,9848675257902575;1,9408856295413572
999;5;12;7;21,166242891096218;(20,966202716521796, 21,36628306567064);0,128;3733,742936888298;(3714,034533375073, 3753,4513404015233);544,9908226602134;3,6539521968603985;1,5287945825596283;1,975135845504395;1,9092648593919892
2915;5;12;7;21,32048460285059;(21,199250725714748, 21,441718479986434);0,16529492455418382;3747,632770488034;(3735,549961006437, 3759,715579969631);561,8780484875061;3,7758505941611626;1,5222158560267864;1,9538452121525376;1,8923843397600888
3368;5;13;6;21,24143031082795;(21,127297612278113, 21,35556300937779);0,16859602255862274;3742,457000966901;(3731,0223455879523, 3753,8916563458497);558,695139136856;3,7398767034253617;1,5284326652208404;2,25701570548438;1,6334590953048864
3417;5;13;5;22,15359829704309;(22,02358231660619, 22,283614277479987);0,6015213575190169;3926,2451571995625;(3912,325211341822, 3940,165103057303);709,2095761433069;4,658532712673996;1,5542846147346772;1,99567052913742;1,0904823306039404
2845;6;12;6;21,69061021794637;(21,554232982054312, 21,82698745383843);0,48559381588193956;3843,00295287866;(3828,477909012073, 3857,527996745247);625,6980778258272;4,182502927316787;2,485179612801904;1,7469345967643954;1,324519236400265
6894;5;14;5;21,24360544839657;(21,164279732134215, 21,32293116465892);0,16055112400290064;3745,044421040226;(3737,0761849418145, 3753,0126571386377);557,9649997701079;3,742009556414671;1,5314212553357778;2,5664549694087886;1,3212849812091836
2086;5;14;4;22,126378800521255;(21,95853658881907, 22,294221012223442);0,6396741734547197;3923,9054354726613;(3905,823899713456, 3941,986971231867);707,9382818286357;4,64552614365303;1,5601262089353087;2,270408739370086;0,838411628594167
2663;5;13;5;22,224625155805114;(22,07043233925961, 22,378817972350618);0,6824324324324325;3942,2930934862834;(3925,8505974118293, 3958,7355895607375);724,1394202844763;4,754065596368247;1,5605291881721866;2,0178518592788164;1,0909448795469927
3007;7;16;8;25,798761698756838;(25,671361301299868, 25,926162096213808);0,07746010638297872;3668,202072341964;(3658,009543453093, 3678,394601230835);540,8288879463005;4,494621648061161;2,640365774707681;2,8288666025184956;2,3872945137436656
2566;6;16;8;26,314140053456388;(26,164802708894403, 26,463477398018373);0,1386832878846903;3751,468011234053;(3739,4069236171226, 3763,5290988509832);615,4515665997018;5,059532497432208;1,7210388500959917;2,8584501706438608;2,4246420587565667
3015;7;17;7;25,726410348216472;(25,597038930232863, 25,85578176620008);0,08753315649867374;3660,2099319714653;(3649,950613679971, 3670,4692502629596);534,2233197474958;4,443514713613535;2,645531681467238;3,157255624888814;2,072794197044175
1198;7;17;6;26,422078783820822;(26,192713252422987, 26,651444315218658);0,2944120100083403;3779,664571788886;(3760,4314193455325, 3798,8977242322394);637,9849459443972;5,227392278754963;2,6713876359725073;2,939602723467868;1,5040842735417417
3163;7;16;7;26,48367814422388;(26,339581402861658, 26,627774885586103);0,3059418457648546;3783,9883842920726;(3771,8015879565573, 3796,175180627588);642,2649223869356;5,269525605156595;2,668475067562944;2,6285050939186423;1,7892125125993912
