Pocet replikacii;Pocet technikov;Pocet automechanikov typ 1;Pocet automechanikov typ 2;Pocet vozidiel v systeme;Pocet vozidiel v systeme IS;Pocet vozidel na konci dna;Cas v systeme;Cas v systeme IS;Cakanie na prevzatie;Dlzka rady;Volni technici;Volni automechanici typ 1;Volni automechanici typ 2;Potrebne financie
9999;1;1;1;79,95290270119547;79,8 - 80,11;134,6025;238,72451340651892;238,58 - 238,87;169,7014177053152;73,41765630725722;0,41728435230415817;0,017902579081004257;0,029878415399488045;4100
9999;5;10;10;20,574203712640514;20,52 - 20,63;0,0507;60,27535085643353;60,19 - 60,36;7,59389597206225;3,0862864162045844;1,516656686909237;1,5889261028603723;3,1635239999493767;35500
3704;5;10;5;27,89241360763163;27,7 - 28,09;10,129554655870445;84,34118238415633;83,99 - 84,7;29,8033145120071;10,568738102801808;1,721701039084119;0,7564377134641691;0,5510523049586898;28000
1349;5;10;6;25,26497324729246;24,99 - 25,54;4,637037037037037;76,14145926375622;75,63 - 76,66;21,483467589309935;7,8907168002237125;1,656768598479884;0,9470976282674952;0,8482233702158694;29500
13777;5;15;5;20,568227739104124;20,52 - 20,62;0,04862824793148498;60,27122300427657;60,2 - 60,35;7,592327310216296;3,0869649489916973;1,517460873234735;3,2046630731094976;1,555427308822365;35500
9999;5;15;5;20,538711961772332;20,48 - 20,59;0,0432;60,201561535433626;60,12 - 60,29;7,536002831709461;3,060552973539514;1,5179461422286824;3,206103604228067;1,5594761588297172;35500
4174;5;5;15;20,590945078495306;20,5 - 20,68;0,05940119760479042;60,27603302270075;60,14 - 60,41;7,5822877864190685;3,0845074979089935;1,5137436771286465;0,5702978737317838;4,193918203873117;35500
1784;5;5;10;27,813714215643877;27,53 - 28,1;9,94733893557423;84,08355413734972;83,57 - 84,59;29,499446604093315;10,476447347714755;1,7196876341981042;0,26641988438788233;1,029576504323568;28000
5622;5;5;15;20,542905655683892;20,47 - 20,62;0,04517161657478214;60,20467432224542;60,09 - 60,32;7,522806333150922;3,058902474488962;1,5171252849882317;0,5722516759441533;4,20780957278101;35500
3091;5;10;5;27,835324428484395;27,63 - 28,05;10,076326002587322;84,13262043287577;83,75 - 84,51;29,60964904992891;10,499389309981144;1,7201693238731393;0,7501588971893876;0,5478282552500985;28000
9405;5;11;6;23,392654223736955;23,3 - 23,49;1,8793323410588987;69,82984587828733;69,66 - 70;15,662890395498401;5,983860286659873;1,6047682533255645;1,3288573628813218;1,0800524167121177;31000
